iter	Passed	Remaining
0	135	135044
1	135	67760
2	136	45334
3	137	34144
4	138	27464
5	138	22978
6	139	19757
7	140	17362
8	140	15504
9	141	14010
10	142	12779
11	142	11760
12	143	10904
13	144	10155
14	144	9512
15	145	8942
16	146	8447
17	146	8010
18	147	7618
19	148	7261
20	149	6950
21	149	6654
22	150	6389
23	151	6146
24	151	5922
25	152	5712
26	153	5535
27	154	5352
28	154	5184
29	155	5028
30	156	4884
31	156	4746
32	157	4615
33	158	4490
34	158	4373
35	159	4269
36	160	4166
37	160	4070
38	161	3977
39	162	3889
40	162	3804
41	163	3726
42	164	3650
43	164	3577
44	165	3506
45	165	3439
46	166	3374
47	167	3314
48	167	3256
49	168	3200
50	169	3147
51	169	3096
52	170	3044
53	171	2996
54	171	2949
55	172	2904
56	172	2860
57	173	2820
58	174	2781
59	175	2741
60	175	2702
61	176	2667
62	176	2631
63	177	2596
64	178	2565
65	179	2533
66	179	2502
67	180	2471
68	181	2443
69	181	2413
70	182	2385
71	182	2356
72	183	2329
73	184	2303
74	184	2278
75	185	2253
76	186	2230
77	186	2206
78	187	2182
79	187	2159
80	188	2136
81	188	2115
82	189	2091
83	189	2071
84	190	2051
85	191	2032
86	191	2013
87	192	1995
88	193	1978
89	193	1960
90	194	1944
91	195	1927
92	196	1912
93	196	1896
94	197	1880
95	197	1864
96	198	1849
97	199	1833
98	199	1819
99	200	1805
100	201	1790
101	201	1777
102	202	1763
103	203	1749
104	203	1736
105	204	1723
106	204	1710
107	205	1698
108	206	1685
109	206	1673
110	207	1661
111	208	1651
112	208	1640
113	209	1629
114	210	1618
115	210	1607
116	211	1595
117	211	1584
118	212	1573
119	213	1563
120	213	1553
121	214	1542
122	214	1532
123	215	1523
124	216	1513
125	216	1503
126	217	1493
127	217	1484
128	218	1475
129	219	1466
130	219	1457
131	220	1449
132	221	1440
133	221	1432
134	222	1424
135	223	1417
136	223	1409
137	224	1402
138	225	1394
139	225	1386
140	226	1379
141	226	1370
142	227	1363
143	228	1355
144	228	1348
145	229	1341
146	229	1334
147	230	1327
148	231	1320
149	231	1313
150	232	1307
151	233	1300
152	233	1293
153	234	1287
154	235	1281
155	235	1275
156	236	1269
157	236	1262
158	237	1257
159	238	1251
160	238	1245
161	239	1240
162	240	1234
163	241	1229
164	241	1223
165	242	1217
166	242	1211
167	243	1206
168	244	1200
169	244	1195
170	245	1189
171	245	1184
172	246	1178
173	247	1173
174	247	1168
175	248	1163
176	249	1157
177	249	1152
178	250	1147
179	251	1143
180	251	1138
181	252	1134
182	253	1129
183	253	1125
184	254	1121
185	255	1116
186	255	1111
187	256	1107
188	256	1102
189	257	1097
190	258	1093
191	258	1088
192	259	1084
193	259	1080
194	260	1075
195	261	1071
196	261	1067
197	262	1062
198	263	1058
199	263	1054
200	264	1050
201	264	1046
202	265	1042
203	266	1038
204	266	1034
205	267	1030
206	268	1026
207	268	1023
208	269	1019
209	269	1015
210	270	1012
211	271	1008
212	271	1004
213	272	1001
214	273	997
215	273	993
216	274	989
217	274	985
218	275	982
219	275	978
220	276	974
221	277	971
222	277	968
223	278	964
224	278	960
225	279	957
226	280	954
227	280	950
228	281	947
229	281	943
230	282	939
231	282	936
232	283	933
233	283	929
234	284	926
235	285	922
236	285	919
237	286	915
238	286	912
239	287	909
240	287	906
241	288	903
242	288	899
243	289	897
244	290	893
245	290	890
246	291	887
247	291	884
248	292	881
249	292	878
250	293	875
251	293	872
252	294	869
253	295	866
254	295	864
255	296	861
256	297	858
257	297	856
258	298	853
259	298	850
260	299	848
261	300	845
262	300	843
263	301	840
264	302	837
265	302	835
266	303	832
267	303	830
268	304	827
269	305	824
270	305	822
271	306	819
272	306	816
273	307	814
274	307	811
275	308	808
276	308	806
277	309	803
278	310	801
279	310	799
280	311	797
281	312	794
282	312	792
283	313	790
284	313	787
285	314	785
286	315	783
287	316	781
288	316	778
289	317	776
290	317	773
291	318	771
292	318	769
293	319	766
294	319	764
295	320	762
296	320	759
297	321	757
298	322	755
299	322	753
300	323	750
301	323	748
302	324	746
303	325	744
304	325	742
305	326	740
306	327	738
307	327	736
308	328	734
309	329	733
310	330	731
311	330	729
312	331	727
313	331	724
314	332	722
315	333	720
316	333	718
317	334	716
318	334	714
319	335	712
320	335	710
321	336	708
322	336	706
323	337	704
324	338	702
325	338	700
326	339	698
327	339	696
328	340	694
329	341	693
330	342	691
331	342	689
332	343	687
333	343	685
334	344	683
335	345	682
336	345	680
337	346	678
338	347	676
339	347	675
340	348	673
341	349	671
342	349	670
343	350	668
344	351	666
345	351	665
346	352	663
347	353	661
348	353	660
349	354	658
350	355	656
351	355	654
352	356	653
353	357	652
354	358	650
355	358	649
356	359	647
357	360	646
358	361	644
359	361	643
360	362	641
361	363	640
362	363	638
363	364	636
364	365	635
365	366	634
366	366	632
367	367	631
368	368	629
369	368	628
370	369	626
371	370	624
372	370	623
373	371	621
374	372	620
375	373	619
376	374	618
377	375	617
378	375	615
379	376	614
380	377	613
381	378	612
382	379	611
383	380	609
384	380	608
385	381	607
386	382	605
387	382	603
388	383	602
389	383	600
390	384	598
391	385	597
392	385	595
393	386	594
394	387	593
395	388	591
396	388	590
397	389	588
398	389	587
399	390	586
400	391	584
401	391	583
402	392	581
403	393	580
404	393	578
405	394	577
406	395	576
407	395	574
408	396	572
409	397	571
410	397	569
411	398	568
412	398	566
413	399	565
414	399	563
415	400	562
416	401	560
417	402	559
418	402	558
419	403	557
420	404	555
421	404	554
422	405	552
423	405	551
424	406	549
425	406	548
426	407	546
427	408	545
428	408	543
429	409	542
430	409	541
431	410	539
432	410	538
433	411	536
434	412	535
435	412	533
436	413	532
437	413	530
438	414	529
439	414	527
440	415	526
441	415	525
442	416	523
443	417	522
444	417	521
445	418	519
446	419	518
447	419	517
448	420	516
449	421	514
450	421	513
451	422	512
452	423	510
453	423	509
454	424	508
455	424	506
456	425	505
457	425	503
458	426	502
459	426	501
460	427	499
461	427	498
462	428	497
463	429	495
464	429	494
465	430	492
466	430	491
467	431	490
468	431	488
